fin	5685380
sme	20000
fra	229582200
fry	843000
som	16492000
aze	23200540
khm	17390040
ukr	34710100
heb	4380000
uig	10100000
vie	65800000
ita	66455110
mlg	18138380
mlt	393000
ind	198000000
cmn	1067000000
bre	206000
lav	1802460
hrv	6506400
epo	2001000
tha	60200000
gla	57400
guj	45700000
uzb	29333900
ibo	18000000
cat	9255420
spa	527976150
nob	5080000
yid	1551280
amh	25600000
srp	6340000
asm	12800000
ces	13217190
pus	38292800
lim	700000
lit	2800000
kan	46700000
kat	3200000
kaz	12771100
jpn	128204860
rus	267912330
mal	34451800
cym	562000
ben	261517930
bel	2230000
urd	163095930
swe	12362250
nep	16160600
xho	19150000
isl	300000
slv	2104630
slk	6839000
gle	1138000
glg	2340000
kir	4908350
kin	10600000
zul	27472100
bos	1120000
mar	74700000
orm	17465900
ori	32656870
tur	71463470
tuk	7097970
pan	28200000
mon	6006590
hye	5169640
deu	129502820
kor	48400000
mkd	1380000
afr	17518390
eus	468000
dan	5380000
hau	46874100
est	1217540
bul	7020000
kur	25353230
eng	983522920
oci	110000
ell	13134490
nnp	49100
tir	7899400
sqi	4082380
ron	24150840
msa	60824376
hun	12596540
nld	22163020
por	229945470
pol	40895370
fas	61929420
tel	79244300
wln	600000
hin	381359750
ara	291783650
tgj	38200
tgk	7863920
tgl	24628290
tat	5188710
tam	75965790
sin	16000000
mya	42875600
bam	14096380
fao	69000
yor	21043700
yue	72893210
san	208100
crh	573540
ckb	7250000
aka	9214000
sot	13874000
ast	560000
sna	9023100
lug	6563450
kmr	15103230
hil	5770000
ceb	15800000
ful	23685340
jav	84300000
kam	4493000
kea	492000
lao	3870000
lin	2040000
ltz	345000
luo	4044000
mri	148000
nso	13720000
nya	6500000
ory	32100000
snd	22700000
swh	47000000
swa	47000000
umb	6000000
wol	5210000
