xtd	3410
xtm	7350
txa	0
txu	7100
dni	20000
jmc	300000
fij	650000
fin	5685380
mda	100000
mdy	101430
sml	90000
dsh	48230
atg	20000
atq	12000
nzi	299000
iri	40000
irk	462000
fra	76096430
frd	50000
cui	2200
tzh	273000
tzj	83800
tzo	235000
sja	3500
hae	4530000
hag	6800
old	597000
fon	1190000
som	7820000
mbb	15000
mbt	50000
azj	8250000
azg	5200
azz	125000
khk	2600000
khm	17390040
oss	451000
ipi	26000
ttc	4900
jic	350
djk	21700
blz	31000
blt	699000
rmc	123000
sab	18000
sag	4950000
sas	2100000
xmm	2350000
kjb	77700
kje	20000
kjh	42600
vun	300000
gde	68000
acf	158000
ace	3500000
acd	10400
ach	1500000
acn	27700
acm	13400000
acr	85600
acu	6200
bjv	36000
heb	4380000
uig	10100000
mnk	669000
mnb	300000
mnf	34000
smo	169000
pbc	4700
pbb	40000
pbi	30000
xog	2960000
xon	831000
vie	65800000
kle	33200
itv	134000
bhz	6800
tpm	16000
tpi	4122000
tpt	3000
tpp	4000
ojc	8000
crh	260000
crn	5370
sey	490
seh	1370000
xal	80500
mlg	18138380
pse	1590000
kno	295000
knj	48500
knk	356000
knf	50000
kne	150000
knt	700
sxn	200000
agn	15000
agu	18000
agr	53600
qvm	83400
qvn	60000
qvo	10000
qvc	30000
qvz	8000
qvw	250000
qvs	15000
trs	4060
lee	213000
lef	48900
lem	6000
lew	350000
lex	18000
ctu	222000
ctd	189000
sgw	1480000
sgb	8200
npl	92000
npy	6100
vmw	3170000
kpv	156000
kpz	274000
cko	91300
dbq	24000
jav	84300000
jam	2670000
jac	9000
gbi	79000
btt	100000
bts	1200000
btx	600000
btd	1200000
tlx	1620
tlb	27700
tlj	101000
lgg	1100000
xed	25000
mhi	293000
mhx	100000
mhy	150000
kru	1750000
krj	378000
kri	4692000
krc	305000
ind	198000000
inb	18000
cmo	32500
cmn	1067000000
cme	51900
cmr	75000
bwq	181000
alt	57400
akp	71900
aka	9100000
ake	4500
bru	26700
nko	20400
tna	1820
lao	3870000
laj	2130000
lat	0
law	44000
las	198000
ntr	10900
ntm	61000
mvp	127000
ktj	100
ktb	792300
ter	15800
suz	39760
emp	22500
hak	43500000
coe	2100
cok	4110
con	1080
hay	1740000
gnw	7000
gng	57400
nij	890000
nin	35000
nim	613000
nia	770000
thk	176000
tha	60200000
bps	90800
bpr	150000
plw	14400
pls	8440
obo	60000
kvn	2600
jvn	35300
gub	13100
gug	5850000
gud	102000
gui	52000
guh	23000
guo	1000
gum	21000
gur	638000
guq	1000
gux	772000
hto	6800
eka	63000
cax	5860
car	4450
cap	1200
cak	451000
cac	41600
cab	98000
caa	30000
spy	241000
spp	350000
spa	436667750
nod	6000000
nog	87100
not	6500
soy	1350
lme	30000
