0.16 & 0.00 \\ 
0.23 & 0.01 \\ 
0.29 & 0.01 \\ 
0.33 & 0.01 \\ 
0.37 & 0.01 \\ 
0.40 & 0.01 \\ 
0.43 & 0.02 \\ 
0.45 & 0.02 \\ 
0.47 & 0.02 \\ 
0.49 & 0.02 \\ 
0.50 & 0.03 \\ 
0.52 & 0.03 \\ 
0.53 & 0.03 \\ 
0.54 & 0.03 \\ 
0.55 & 0.03 \\ 
0.56 & 0.04 \\ 
0.57 & 0.04 \\ 
0.58 & 0.04 \\ 
0.59 & 0.04 \\ 
0.60 & 0.05 \\ 
0.61 & 0.05 \\ 
0.62 & 0.05 \\ 
0.63 & 0.05 \\ 
0.64 & 0.05 \\ 
0.65 & 0.06 \\ 
0.66 & 0.06 \\ 
0.67 & 0.06 \\ 
0.68 & 0.07 \\ 
0.69 & 0.07 \\ 
0.70 & 0.07 \\ 
0.71 & 0.08 \\ 
0.72 & 0.08 \\ 
0.73 & 0.08 \\ 
0.73 & 0.09 \\ 
0.74 & 0.09 \\ 
0.75 & 0.09 \\ 
0.76 & 0.10 \\ 
0.77 & 0.10 \\ 
0.77 & 0.11 \\ 
0.78 & 0.11 \\ 
0.79 & 0.12 \\ 
0.80 & 0.12 \\ 
0.80 & 0.13 \\ 
0.81 & 0.13 \\ 
0.81 & 0.14 \\ 
0.82 & 0.14 \\ 
0.82 & 0.15 \\ 
0.83 & 0.15 \\ 
0.83 & 0.16 \\ 
0.84 & 0.17 \\ 
0.84 & 0.18 \\ 
0.85 & 0.18 \\ 
0.85 & 0.19 \\ 
0.85 & 0.20 \\ 
0.86 & 0.20 \\ 
0.86 & 0.21 \\ 
0.86 & 0.22 \\ 
0.87 & 0.22 \\ 
0.87 & 0.23 \\ 
0.87 & 0.24 \\ 
0.87 & 0.25 \\ 
0.88 & 0.25 \\ 
0.88 & 0.26 \\ 
0.88 & 0.27 \\ 
0.88 & 0.28 \\ 
0.88 & 0.29 \\ 
0.88 & 0.30 \\ 
0.89 & 0.30 \\ 
0.89 & 0.31 \\ 
0.89 & 0.32 \\ 
0.89 & 0.33 \\ 
0.89 & 0.34 \\ 
0.89 & 0.35 \\ 
0.89 & 0.36 \\ 
0.89 & 0.37 \\ 
0.89 & 0.38 \\ 
0.89 & 0.39 \\ 
0.89 & 0.40 \\ 
0.89 & 0.41 \\ 
0.89 & 0.42 \\ 
0.90 & 0.42 \\ 
0.90 & 0.43 \\ 
0.90 & 0.44 \\ 
0.90 & 0.45 \\ 
0.90 & 0.46 \\ 
0.90 & 0.47 \\ 
0.90 & 0.48 \\ 
0.90 & 0.49 \\ 
0.90 & 0.50 \\ 
0.90 & 0.51 \\ 
0.90 & 0.52 \\ 
0.90 & 0.53 \\ 
0.90 & 0.54 \\ 
0.90 & 0.55 \\ 
0.90 & 0.56 \\ 
0.90 & 0.57 \\ 
0.90 & 0.58 \\ 
0.90 & 0.59 \\ 
0.90 & 0.60 \\ 
0.90 & 0.61 \\ 
0.90 & 0.62 \\ 
0.90 & 0.63 \\ 
0.90 & 0.64 \\ 
0.90 & 0.65 \\ 
0.90 & 0.66 \\ 
0.90 & 0.67 \\ 
0.90 & 0.68 \\ 
0.90 & 0.69 \\ 
0.90 & 0.70 \\ 
0.90 & 0.71 \\ 
0.90 & 0.72 \\ 
0.90 & 0.73 \\ 
0.90 & 0.74 \\ 
0.90 & 0.75 \\ 
0.90 & 0.76 \\ 
0.90 & 0.77 \\ 
0.90 & 0.78 \\ 
0.90 & 0.79 \\ 
0.90 & 0.80 \\ 
0.90 & 0.81 \\ 
0.90 & 0.82 \\ 
0.90 & 0.83 \\ 
0.90 & 0.84 \\ 
0.90 & 0.85 \\ 
0.90 & 0.86 \\ 
0.90 & 0.87 \\ 
0.90 & 0.88 \\ 
0.90 & 0.89 \\ 
0.90 & 0.90 \\ 
