0.18 & 0.00 \\ 
0.26 & 0.01 \\ 
0.32 & 0.01 \\ 
0.36 & 0.01 \\ 
0.41 & 0.01 \\ 
0.45 & 0.02 \\ 
0.48 & 0.02 \\ 
0.50 & 0.02 \\ 
0.53 & 0.02 \\ 
0.55 & 0.03 \\ 
0.56 & 0.03 \\ 
0.57 & 0.03 \\ 
0.59 & 0.03 \\ 
0.60 & 0.04 \\ 
0.61 & 0.04 \\ 
0.62 & 0.04 \\ 
0.64 & 0.04 \\ 
0.65 & 0.05 \\ 
0.66 & 0.05 \\ 
0.67 & 0.05 \\ 
0.68 & 0.05 \\ 
0.69 & 0.05 \\ 
0.70 & 0.06 \\ 
0.71 & 0.06 \\ 
0.72 & 0.06 \\ 
0.73 & 0.06 \\ 
0.73 & 0.07 \\ 
0.74 & 0.07 \\ 
0.75 & 0.07 \\ 
0.76 & 0.07 \\ 
0.76 & 0.08 \\ 
0.77 & 0.08 \\ 
0.78 & 0.08 \\ 
0.79 & 0.08 \\ 
0.79 & 0.09 \\ 
0.80 & 0.09 \\ 
0.81 & 0.09 \\ 
0.82 & 0.10 \\ 
0.83 & 0.10 \\ 
0.84 & 0.11 \\ 
0.85 & 0.11 \\ 
0.86 & 0.12 \\ 
0.87 & 0.12 \\ 
0.87 & 0.13 \\ 
0.88 & 0.13 \\ 
0.88 & 0.14 \\ 
0.89 & 0.14 \\ 
0.90 & 0.15 \\ 
0.91 & 0.16 \\ 
0.91 & 0.17 \\ 
0.92 & 0.17 \\ 
0.92 & 0.18 \\ 
0.93 & 0.18 \\ 
0.93 & 0.19 \\ 
0.94 & 0.20 \\ 
0.94 & 0.21 \\ 
0.95 & 0.21 \\ 
0.95 & 0.22 \\ 
0.95 & 0.23 \\ 
0.96 & 0.23 \\ 
0.96 & 0.24 \\ 
0.96 & 0.25 \\ 
0.97 & 0.26 \\ 
0.97 & 0.27 \\ 
0.97 & 0.28 \\ 
0.97 & 0.29 \\ 
0.98 & 0.29 \\ 
0.98 & 0.30 \\ 
0.98 & 0.31 \\ 
0.98 & 0.32 \\ 
0.98 & 0.33 \\ 
0.98 & 0.34 \\ 
0.98 & 0.35 \\ 
0.99 & 0.35 \\ 
0.99 & 0.36 \\ 
0.99 & 0.37 \\ 
0.99 & 0.38 \\ 
0.99 & 0.39 \\ 
0.99 & 0.40 \\ 
0.99 & 0.41 \\ 
0.99 & 0.42 \\ 
0.99 & 0.43 \\ 
0.99 & 0.44 \\ 
0.99 & 0.45 \\ 
0.99 & 0.46 \\ 
0.99 & 0.47 \\ 
0.99 & 0.48 \\ 
1.00 & 0.49 \\ 
1.00 & 0.50 \\ 
1.00 & 0.51 \\ 
1.00 & 0.52 \\ 
1.00 & 0.53 \\ 
1.00 & 0.54 \\ 
1.00 & 0.55 \\ 
1.00 & 0.56 \\ 
1.00 & 0.57 \\ 
1.00 & 0.58 \\ 
1.00 & 0.59 \\ 
1.00 & 0.60 \\ 
1.00 & 0.61 \\ 
1.00 & 0.62 \\ 
1.00 & 0.63 \\ 
1.00 & 0.64 \\ 
1.00 & 0.65 \\ 
1.00 & 0.66 \\ 
1.00 & 0.67 \\ 
1.00 & 0.68 \\ 
1.00 & 0.69 \\ 
1.00 & 0.70 \\ 
1.00 & 0.71 \\ 
1.00 & 0.72 \\ 
1.00 & 0.73 \\ 
1.00 & 0.74 \\ 
1.00 & 0.75 \\ 
1.00 & 0.76 \\ 
1.00 & 0.77 \\ 
1.00 & 0.78 \\ 
1.00 & 0.79 \\ 
1.00 & 0.80 \\ 
1.00 & 0.81 \\ 
1.00 & 0.82 \\ 
1.00 & 0.83 \\ 
1.00 & 0.84 \\ 
1.00 & 0.85 \\ 
1.00 & 0.86 \\ 
1.00 & 0.87 \\ 
1.00 & 0.88 \\ 
1.00 & 0.89 \\ 
1.00 & 0.90 \\ 
1.00 & 0.91 \\ 
1.00 & 0.92 \\ 
1.00 & 0.93 \\ 
1.00 & 0.94 \\ 
1.00 & 0.95 \\ 
1.00 & 0.96 \\ 
1.00 & 0.97 \\ 
1.00 & 0.98 \\ 
1.00 & 0.99 \\ 
1.00 & 1.00 \\ 
