ces	eng	0.48366386075046364
deu	eng	0.7919817377657297
eng	ces	0.4537023826508774
eng	deu	0.6891139962904836
eng	est	0.3595377371950349
eng	fin	0.3909259523469824
eng	rus	0.5179055500071337
eng	tur	0.28534741047224993
eng	cmn	0.6363247253531175
est	eng	0.4408617491796262
fin	eng	0.47082322727921244
rus	eng	0.5721215579968612
tur	eng	0.4244542730774718
cmn	eng	0.6220573548295049
eng	lav	0.5350263946354686
lav	eng	0.6320445141960336
ces	deu	0.333299535943036
deu	ces	0.3593240014402939
deu	fra	0.631641876745674
eng	guj	0.6891139962904836
eng	kaz	0.25823940647738625
eng	lit	0.473676701383935
fra	deu	0.4993579683264374
guj	eng	0.8346411756313311
kaz	eng	0.43515480097018117
lit	eng	0.5821087173633899
eng	ron	0.490940219717506
ron	eng	0.6079326580111285
eng	fra	0.7975460122699386
fra	eng	0.6834070480810386
eng	jpn	0.5973748038236553
jpn	eng	0.3979169639035526
spa	por	0.9230988728777286
por	spa	0.9502068768725922
hin	nep	0.7661577971179911
nep	hin	0.7005278927093737
ces	pol	0.1345619244490518
pol	ces	0.1657123840185827
eng	hin	0.3947902947926988
hin	eng	0.5301562727952999
ces	spa	0.2996147809958625
ces	fra	0.38574418342061517
ces	rus	0.2504921978205426
eng	spa	0.6082180054216008
spa	ces	0.28099900743151074
spa	eng	0.6193465544300185
fra	ces	0.31006340603476995
rus	ces	0.25957291402910804
eng	bul	0.4594093308603225
eng	eus	0.2097303466971037
eng	nld	0.4769581966043658
eng	por	0.5625624197460408
por	eng	0.6075046368954201
eus	eng	0.3739477814238836
ara	eng	0.4922242830646312
eng	ara	0.33043230132686546
nld	deu	0.35669932637207513
deu	nld	0.37774218138833415
ita	ron	0.3008988443429876
ron	ita	0.3301469539163932
nld	ita	0.3026109288058211
ita	nld	0.32472535311742046
nld	ron	0.2583820801826223
ron	nld	0.2920530746183478
nld	eng	0.5176202025966614
eng	ita	0.5120559280924526
ita	eng	0.5398773006134969
deu	ita	0.4055389437639041
ita	deu	0.37203700413228563
deu	ron	0.38881568835095953
ron	deu	0.4189349034375447
aze	eng	0.3552575260379512
bel	eng	0.3618205164788129
ben	eng	0.3010415180482237
bos	eng	0.45170495077757167
bul	eng	0.5226137822799258
dan	eng	0.5702667998287915
ell	eng	0.5030674846625767
epo	eng	0.5164788129547725
fas	eng	0.35468683121700667
glg	eng	0.43729490654872305
heb	eng	0.4903695248965615
hrv	eng	0.7193595597417998
hun	eng	0.38379226708517616
hye	eng	0.2558139534883721
ind	eng	0.4822371236981024
kat	eng	0.32814952204308745
kor	eng	0.2358396347553146
kur	eng	0.32814952204308745
mar	eng	0.5849621914681123
mkd	eng	0.473676701383935
mon	eng	0.10129833071764872
msa	eng	0.42231416749892997
mya	eng	0.19974318733057497
nob	eng	0.5692680838921387
pol	eng	0.36524468540447996
slk	eng	0.5335996575831073
slv	eng	0.9151091453845056
sqi	eng	0.5821087173633899
srp	eng	0.7481809102582393
swe	eng	0.5063489798830075
tam	eng	0.36809815950920244
tha	eng	0.30032814952204306
ukr	eng	0.37808531887573116
urd	eng	0.2953345698387787
vie	eng	0.3753745184762448
eng	vie	0.4253103153088885
eng	heb	0.39805963760878865
fra	heb	0.27203676189843023
heb	fra	0.391092259119957
fra	ron	0.3355120063413973
ron	fra	0.4848542671254399
fra	ara	0.23541161363960622
ara	fra	0.3925715141006261
fra	spa	0.5117705806819802
spa	fra	0.502354116136396
eng	fas	0.19260950206876873
tir	eng	0.2645170495077757
orm	eng	0.2645170495077757
uig	eng	0.25110572121558
eng	nep	0.5635611356826936
nep	eng	0.6919674703952061
eng	sin	0.1526608646026537
sin	eng	0.32244257383364244
eng	slv	0.7108003994863746
eng	hrv	0.8674561278356399
eng	srp	0.8674561278356399
slv	srp	0.7938170358022248
srp	slv	0.743187330574975
hrv	srp	0.9614780995862462
srp	hrv	1.0
slv	hrv	0.7938170358022248
hrv	slv	0.743187330574975
swa	eng	0.4478527607361963
eng	swa	0.48466257668711654
eng	tgl	0.39449279497788553
tgl	eng	0.4672563846483093
eng	som	0.17805678413468398
som	eng	0.30246825510058495
eng	aze	0.2839206734198887
eng	bel	0.22257098016835494
eng	glg	0.3793693822228563
eng	slk	0.38949921529462117
eng	ukr	0.25110572121558
rus	ukr	0.3210158367812812
ukr	rus	0.3352832073048937
ben	hin	0.32700813240119847
guj	hin	0.48865744043372805
mar	hin	0.3692395491510914
mal	hin	0.17063775146240548
tam	hin	0.1861891853331431
ara	bul	0.22613242851592416
ara	bos	0.20225188506751474
ara	ces	0.2233233300250431
ara	dan	0.23315517474312678
ara	deu	0.3391986427738862
ara	ell	0.19031642275719082
ara	epo	0.21910968228872152
ara	spa	0.2993796716656474
ara	glg	0.18673482218131748
ara	heb	0.1959346197389529
ara	hrv	0.4269829706139189
ara	hun	0.13202762907140914
ara	ind	0.2064687390797568
ara	ita	0.2520463620943018
ara	jpn	0.29404238453297343
ara	kor	0.13062307982596863
ara	mkd	0.21630058379784048
ara	nob	0.23175062549768624
ara	nld	0.23477040637538335
ara	pol	0.13694355143045095
ara	por	0.27690688373859906
ara	ron	0.2416526976780419
ara	rus	0.25492568804745486
ara	slk	0.19172097200263133
ara	slv	0.3498732170392342
ara	srp	0.4269829706139189
ara	swe	0.2099801121933581
ara	tur	0.14045492454405226
ara	ukr	0.12360033359876602
ara	vie	0.20934806503290987
ara	cmn	0.31321448173323657
bul	ara	0.17268847478389332
bul	bos	0.2147387405803787
bul	ces	0.23711111822658926
bul	dan	0.24754997248813723
